"","CartPos","CartVelocity","PoleAngle","PoleVelocity","CONSTANT"
"2185",2.35454238286478e-08,1.19096078213177e-08,2.48047558758993e-09,0.0200000055370888,2.22217407686107e-09
"2186",2.60553045981602e-07,-9.36727645334057e-08,4.02480121110692e-07,0.0199999431528867,6.43109798939872e-09
"2187",1.01410271942597e-07,-1.91636692598075e-09,-1.00396249174694e-07,0.0200000017493924,-5.72382472661821e-10
"2188",2.02007808791086e-07,-6.22245318975695e-08,1.70731520885523e-07,0.019999962404158,-7.0264262850459e-09
"2189",-1.67251438744064e-07,1.13429036159909e-07,-2.884834833087e-07,0.0200000893244743,-3.80247686340887e-10
"2190",-9.74717231937762e-08,1.10810800124433e-07,-2.72592736685648e-07,0.0200000848944379,3.5071756372926e-09
"2191",1.36673225606004e-07,-1.01055421596407e-07,4.75780304793406e-07,0.0199999089881678,-9.32558105556756e-09
"2192",-1.34284229418478e-07,8.26757117173984e-08,-2.58163510252512e-07,0.0200000701554441,2.14838020588329e-09
"2193",1.21701832418808e-07,-6.0108302890385e-08,1.86782383784187e-07,0.0199999519611316,8.34246587734267e-10
"2194",-1.28210714499792e-07,9.22529839944706e-08,-3.35500587729659e-07,0.020000083343029,-8.08928238584599e-09
"2195",2.74844461960322e-07,-7.70393356233231e-08,1.00307986543755e-07,0.0199999672183716,-3.59872872134156e-09
"2196",-3.43798827400915e-07,1.04602701637408e-07,-3.79114997440736e-07,0.020000082119779,9.23825860115342e-09
"2197",1.02649639019429e-07,-8.02138274013903e-08,2.1085394332995e-07,0.0199999323440219,-3.53578234387482e-09
"2198",-1.80974133307533e-07,8.56040457506965e-08,-2.14313530702308e-07,0.0200000552463063,1.44676645936728e-10
"2199",6.3961720238866e-08,-2.76126469962888e-08,5.50581295482511e-08,0.0199999787339537,4.18037555927433e-10
"2200",1.31777200852234e-07,-5.03711144766461e-08,3.73691515379889e-08,0.0199999724909477,-1.14483882753708e-09
"2201",-2.41545009373273e-09,-2.70361693407196e-08,8.8560769603886e-08,0.0199999747209801,-8.87934507197102e-10
"2202",-7.28531441455365e-08,5.99662307960208e-08,-1.67289995866161e-07,0.0200000413913562,-4.31510130033346e-09
"2203",4.19750817349208e-08,-5.05678363339267e-08,1.10383234878909e-07,0.0199999654046382,4.7493498244176e-10
"2204",-7.48781643251882e-08,5.51992660977834e-08,-6.92781751744152e-08,0.0200000389709056,-7.70553070613776e-10
"2205",-2.80998076085841e-07,1.54269852234841e-07,-3.58469190511845e-07,0.0200001002188814,1.85192334930527e-09
"2206",8.60235762384579e-08,-5.59908188628267e-08,1.08383186189826e-07,0.019999957475763,8.64694441549923e-09
"2207",-6.11046446773602e-08,-1.59347134392462e-08,3.96808024658476e-08,0.0199999663289958,-3.23184619559342e-09
"2208",9.84664827419386e-09,1.18943511854837e-08,-6.92140693064901e-09,0.020000015760302,-4.46610517026924e-11
"2209",6.88041215946569e-09,-2.51073328187779e-08,4.92196214501108e-08,0.0199999755756655,1.49485833244893e-10
"2210",1.2011549930043e-07,-2.45105144810519e-08,-2.92783598477144e-08,0.020000004312986,-2.46623775462882e-09
"2211",1.03048648252121e-07,-3.08096071016082e-08,3.28482019753131e-08,0.0199999827647713,3.27572503251224e-09
"2212",1.48615898566935e-07,-9.00883016374072e-08,2.42262595517004e-07,0.0199999301699066,-9.81481294191071e-10
"2213",-1.1279226627084e-09,-1.15958354878333e-08,4.14557549559688e-08,0.0200000015460448,1.18885529962115e-09
"2214",-3.40408651915059e-08,2.71518861438057e-08,-5.63945705904259e-08,0.020000013907816,2.99583367988338e-09
"2215",7.55573326715294e-08,-2.30222699227356e-08,1.83045968466263e-07,0.0199999818679846,-2.14901370896989e-09
"2216",-2.24292468491238e-08,3.17071620383607e-08,-1.2307479346191e-07,0.0200000269757546,5.01008786469933e-09
"2217",-1.00918082149809e-08,3.16060666484385e-08,-8.52778287976063e-08,0.0200000306942681,-4.59514508773846e-10
"2218",-4.24708009781209e-08,2.08371327442426e-08,-2.08354673176937e-07,0.0200000286450116,-4.26568585671107e-09
"2219",-4.55491146263893e-08,-1.76437652803875e-08,-2.46007145132414e-08,0.0199999939953744,1.24950910300896e-08
"2220",-9.52945746807163e-08,2.94266530861222e-08,-2.65564817807998e-08,0.0200000282577659,8.71391519554553e-09
"2221",2.0416591618449e-07,-9.24241587940986e-08,2.1109549704659e-07,0.0199999372763593,-2.73494892222164e-09
"2222",-1.87411882255261e-07,7.25030213491556e-08,-2.65086854860202e-07,0.0200000478703407,-5.44374312573407e-09
"2223",1.25804875136124e-07,-4.75199099126956e-08,9.47876001297666e-08,0.0199999730654115,6.43480839894808e-09
"2224",-1.06446975362455e-07,6.91430398227744e-08,-2.0467599560949e-07,0.0200000571709983,-5.63564472860033e-09
"2225",1.75580318841282e-07,-6.78384349897865e-08,2.68171823930349e-07,0.0199999476507583,5.69694785499194e-10
"2226",6.46732123453153e-08,-2.84447121658631e-08,1.64580024568152e-07,0.0199999779405475,2.59423363837385e-09
"2227",-1.45572306811719e-07,4.43535740434123e-08,-1.00376428023254e-07,0.0200000167121475,-1.61932935643778e-08
"2228",1.98992183540661e-08,5.90260719716839e-10,7.96889362599271e-08,0.019999996099645,1.88612239743317e-09
"2229",-2.47594936153789e-09,9.20472273323755e-09,-1.24655398863413e-09,0.0200000061835878,6.83891671714605e-09
"2230",1.49369383783353e-07,-7.32047662774671e-08,3.15631296319022e-07,0.019999943963899,1.14561253936542e-08
"2231",4.89025286992867e-08,-5.79294063262192e-08,8.71129013882507e-08,0.0199999552496567,-6.50358396363119e-10
"2232",-8.70602203749903e-08,4.33326268035899e-08,-1.98864773339813e-07,0.0200000427552335,-4.50617301251235e-09
"2233",2.82632001316348e-08,2.15673628698009e-09,7.37873168154749e-08,0.0200000022265085,4.60437954134814e-09
"2234",-3.59700372437507e-08,8.82582113793624e-09,-3.05118016466084e-08,0.0200000060928359,-1.54344745161582e-09
"2235",1.55754276237554e-08,-9.57286146001825e-09,4.44675973213072e-08,0.0199999924615695,-1.35096813403436e-09
"2236",3.80652621598279e-08,2.00485417371519e-08,-1.79307568757051e-07,0.0200000221527354,7.85746507971914e-09
"2237",-2.68209990209243e-07,1.25432453535037e-07,-3.17530864835382e-07,0.020000097943781,-2.9349771042097e-10
