"","CartPos","CartVelocity","PoleAngle","PoleVelocity","CONSTANT"
"15382",-0.00014765097824455,5.93798915702192e-05,-0.0138757842031657,0.000202229641584032,-0.194958174911717
"15383",-7.14447830121054e-05,5.76198854176109e-05,-0.0138288245923942,0.000181048611642635,-0.194950283780043
"15384",9.24970700461201e-05,-4.77416941703915e-05,-0.013595303691532,0.000112150859700185,-0.194953285996463
"15385",2.25177466427604e-05,2.45894672611278e-05,-0.0135906936629637,0.000163066622775299,-0.194963987844453
"15386",6.31875698130826e-05,4.82744683618012e-05,-0.0139813982740011,0.000241501804477058,-0.194966231146299
"15387",-1.71794391995932e-05,3.20083407083342e-05,-0.0138162301255714,0.000176825928261082,-0.194959694702544
"15388",7.51879450624183e-05,-7.35524856507833e-05,-0.0137432553164698,0.000116146777403061,-0.194962576499551
"15389",-5.54122360097611e-05,-1.95327929236484e-06,-0.013720478602555,0.000165284065417017,-0.19496872577498
"15390",0.000193550539804123,-9.2009746895032e-05,-0.0134144371195731,8.22186535933317e-05,-0.194960074316684
"15391",-2.70770687618874e-06,-2.98022294345697e-05,-0.0136342937409228,0.000135791468461159,-0.194952774447622
"15392",-0.000121202027720835,6.49403620408641e-05,-0.0136399822574328,0.000186326825539825,-0.194954744472727
"15393",-0.000226013063381226,0.000111597079040387,-0.014025314365138,0.000252354109514803,-0.194955566785109
"15394",-5.15594043052733e-05,1.7661180709429e-05,-0.0138414172211759,0.000197503440273482,-0.194960240821017
"15395",-2.08785774252452e-05,7.52959784056217e-06,-0.0137305852377788,0.000171387869031896,-0.19495233493152
"15396",-2.86919280094104e-05,-2.16186421702773e-05,-0.0134800883748099,0.000127433225277388,-0.194954061150701
"15397",-4.7248871344308e-05,4.74249950655063e-05,-0.0138593278022823,0.000208988694929149,-0.194952962377936
"15398",-4.08797467434322e-06,1.90490421865944e-05,-0.0137387479307741,0.00017236286964153,-0.194951072046721
"15399",6.03463889977675e-05,-1.62754473252019e-05,-0.0136585528750182,0.000137474559480083,-0.194960398119264
"15400",7.70673289334612e-05,-6.59994174242194e-05,-0.0135408483445149,0.000119545791855257,-0.194956458387092
"15401",-0.000151223505041099,3.74865504448405e-05,-0.0137809457255268,0.000183788856527105,-0.194959143183228
"15402",0.000265097524889565,-7.87654090140833e-05,-0.01346696894076,0.000121422523550416,-0.194960690280967
"15403",0.000274005022021026,-0.000125094150390515,-0.0134647901236046,8.94916516459481e-05,-0.194968000344765
"15404",0.000151739699737126,-2.16930317984002e-05,-0.0136164526787621,0.000154450199316928,-0.194949303819136
"15405",8.53677576460828e-05,9.43089188022369e-06,-0.0138154341373559,0.00018732130325489,-0.194962724821689
"15406",-0.000212645921401132,8.79524167130824e-05,-0.0139825715457584,0.000216270461084985,-0.194972827792033
"15407",-0.000120502466633988,9.07606090346606e-05,-0.0139549736555018,0.000255132196849178,-0.194961909508143
"15408",-0.000305837099414438,0.00011416029168224,-0.01399725879719,0.000247286262036741,-0.194981094122377
"15409",0.000176045370343256,-0.000128853010379089,-0.0133557323205252,6.35899604283893e-05,-0.194961700188874
"15410",-5.08273379488319e-05,2.76571671560561e-05,-0.0136889914418066,0.000180855230607634,-0.19495870570821
"15411",0.000176446519165454,-4.96650014129529e-05,-0.0136450714887008,0.000141523952366579,-0.194960512028612
"15412",0.000244685294025491,-9.46186308953283e-05,-0.0135329550868187,0.0001136996740584,-0.19495850907202
"15413",-0.000150726746365607,3.22445426060795e-05,-0.0137804644940097,0.000186776551947379,-0.194957694465951
"15414",0.000204696301157413,-4.16395140981422e-05,-0.0135711634837123,0.000133049582379352,-0.194951435935184
"15415",1.29245673243437e-05,1.6726668823181e-05,-0.0138500037548061,0.000168471938079907,-0.194950044763517
"15416",-1.89646232819952e-05,1.73430779152783e-05,-0.0136690443307874,0.000172417967860817,-0.194953163877855
"15417",-0.000197861864592791,3.56597667203362e-05,-0.0138359952915003,0.000174374600119715,-0.194954901673188
"15418",-7.38319389968979e-05,-8.01715115468636e-06,-0.013793529571972,0.000159249854275591,-0.194958405312353
"15419",-3.02580531451567e-05,2.3497437140121e-05,-0.0138081842609337,0.000199438477958091,-0.19496863093782
"15420",2.86770386819722e-07,-4.99601849276303e-06,-0.0137495726845364,0.000162297681575294,-0.194963920993242
"15421",2.52203486976162e-05,-2.4412012154052e-05,-0.0137274882541916,0.000147092633727328,-0.194960206663123
"15422",0.000108889595114972,-7.34468662617496e-05,-0.0134748166920943,9.70257040452622e-05,-0.194964177369557
"15423",0.000174947902640174,-6.42325664993076e-05,-0.0135276950527428,0.00011827617648383,-0.194965481916953
"15424",-2.13858964823064e-05,5.83844964633278e-05,-0.0139159853677522,0.000228476032052609,-0.194962037142755
"15425",-5.36003134492984e-05,1.80230875278115e-05,-0.0138107730962256,0.000165250442661763,-0.194958788082142
"15426",-7.21423795593243e-05,7.16873020633908e-05,-0.0138333833144079,0.000196314817779389,-0.194953526744523
"15427",-0.000265118452721155,0.000153646428939713,-0.0141526456399026,0.000268961508339367,-0.194957307877691
"15428",6.10838687390083e-05,-3.75229661074231e-05,-0.0134869860212083,0.000128556792758986,-0.194959156085949
"15429",0.000165596501980883,-7.63784658844109e-05,-0.0135187460284776,9.81805092418769e-05,-0.194962696596821
