"","x"
"0%",-0.861360704069625
"10%",-0.103683931906768
"20%",-0.0589345554969963
"30%",-0.0343517130423697
"40%",-0.0180752571781658
"50%",0
"60%",0.0180752571781658
"70%",0.0343517130423697
"80%",0.0589345554969963
"100%",0.861360704069625
