"","Step","CartPos","CartVelocity","PoleAngle","PoleVelocity","Action","Reward","FutCarPos","FutCarVel","FutPolAng","FutPolVel","ChgCarPos","ChgCarVel","ChgPolAng","ChgPolVel"
"1",0,-0.030689391983801,-0.187040523342001,0.0161022485994527,0.341247441276296,0,1,-0.034430202450641,-0.382387829378747,0.0229271974249786,0.638964270076415,-0.00374081046684002,-0.195347306036747,0.00682494882552591,0.297716828800119
"2",1,-0.034430202450641,-0.382387829378747,0.0229271974249786,0.638964270076415,1,1,-0.042077959038216,-0.187592932023106,0.0357064828265069,0.353588722583577,-0.00764775658757495,0.194794897355642,0.0127792854015283,-0.285375547492838
"3",2,-0.042077959038216,-0.187592932023106,0.0357064828265069,0.353588722583577,0,1,-0.0458298176786781,-0.383203936274465,0.0427782572781785,0.657313678130561,-0.00375185864046212,-0.195611004251359,0.00707177445167154,0.303724955546984
"4",3,-0.0458298176786781,-0.383203936274465,0.0427782572781785,0.657313678130561,0,1,-0.0534938964041674,-0.578894428428361,0.0559245308407897,0.963153847263276,-0.00766407872548931,-0.195690492153896,0.0131462735626112,0.305840169132716
"5",4,-0.0534938964041674,-0.578894428428361,0.0559245308407897,0.963153847263276,1,1,-0.0650717849727346,-0.384566682723353,0.0751876077860552,0.688551180648025,-0.0115778885685672,0.194327745705008,0.0192630769452655,-0.274602666615251
"6",5,-0.0650717849727346,-0.384566682723353,0.0751876077860552,0.688551180648025,0,1,-0.0727631186272017,-0.58064717512526,0.0889586313990157,1.0039252878082,-0.00769133365446707,-0.196080492401907,0.0137710236129605,0.315374107160173
"7",6,-0.0727631186272017,-0.58064717512526,0.0889586313990157,1.0039252878082,1,1,-0.0843760621297069,-0.386818884325159,0.10903713715518,0.740451864297857,-0.0116129435025052,0.193828290800102,0.020078505756164,-0.263473423510341
"8",7,-0.0843760621297069,-0.386818884325159,0.10903713715518,0.740451864297857,1,1,-0.0921124398162101,-0.193357744665831,0.123846174441137,0.483976939872044,-0.00773637768650318,0.193461139659328,0.0148090372859571,-0.256474924425813
"9",8,-0.0921124398162101,-0.193357744665831,0.123846174441137,0.483976939872044,0,1,-0.0959795947095267,-0.389989945203249,0.133525713238578,0.812983959560438,-0.00386715489331661,-0.196632200537419,0.00967953879744089,0.329007019688393
"10",9,-0.0959795947095267,-0.389989945203249,0.133525713238578,0.812983959560438,1,1,-0.103779393613592,-0.196924796700201,0.149785392429786,0.565104051115584,-0.00779979890406499,0.193065148503048,0.0162596791912087,-0.247879908444854
"11",10,-0.103779393613592,-0.196924796700201,0.149785392429786,0.565104051115584,0,1,-0.107717889547596,-0.393795631551885,0.161087473452098,0.90097622020743,-0.00393849593400401,-0.196870834851684,0.0113020810223117,0.335872169091846
"12",11,-0.107717889547596,-0.393795631551885,0.161087473452098,0.90097622020743,0,1,-0.115593802178633,-0.59069040485922,0.179106997856247,1.23964987527594,-0.00787591263103769,-0.196894773307335,0.0180195244041486,0.338673655068509
"13",12,-0.115593802178633,-0.59069040485922,0.179106997856247,1.23964987527594,1,1,-0.127407610275818,-0.398262305653613,0.203899995361766,1.00800145734263,-0.0118138080971844,0.192428099205607,0.0247929975055188,-0.231648417933309
"14",13,-0.127407610275818,-0.398262305653613,0.203899995361766,1.00800145734263,1,1,-0.13537285638889,-0.206359215083295,0.224060024508618,0.785642006095404,-0.00796524611307226,0.191903090570319,0.0201600291468526,-0.222359451247226
"15",14,-0.13537285638889,-0.206359215083295,0.224060024508618,0.785642006095404,0,-200,-0.139500040690556,-0.403741238003568,0.239772864630526,1.13963807302628,-0.00412718430166589,-0.197382022920273,0.0157128401219081,0.353996066930874
"17",0,-0.00887612326515518,-0.223648297670246,0.0357753418410492,0.259238807865432,0,1,-0.0133490892185601,-0.419262225535996,0.0409601179983579,0.562987655680291,-0.00447296595340492,-0.19561392786575,0.00518477615730864,0.303748847814859
"18",1,-0.0133490892185601,-0.419262225535996,0.0409601179983579,0.562987655680291,1,1,-0.02173433372928,-0.22473824978147,0.0522198711119637,0.283485334736663,-0.00838524451071992,0.194523975754526,0.0112597531136058,-0.279502320943628
"19",2,-0.02173433372928,-0.22473824978147,0.0522198711119637,0.283485334736663,1,1,-0.0262290987249094,-0.0303984962699012,0.0578895778066969,0.00771874064017031,-0.0044947649956294,0.194339753511569,0.00566970669473326,-0.275766594096493
"20",3,-0.0262290987249094,-0.0303984962699012,0.0578895778066969,0.00771874064017031,1,1,-0.0268370686503074,0.163847512755512,0.0580439526195003,-0.266152159357351,-0.000607969925398022,0.194246009025414,0.000154374812803407,-0.273870899997521
"21",4,-0.0268370686503074,0.163847512755512,0.0580439526195003,-0.266152159357351,1,1,-0.0235601183951972,0.358095074252259,0.0527209094323533,-0.539977468288694,0.00327695025511025,0.194247561496747,-0.00532304318714702,-0.273825308931343
"22",5,-0.0235601183951972,0.358095074252259,0.0527209094323533,-0.539977468288694,1,1,-0.016398216910152,0.552437832634614,0.0419213600665794,-0.815593800716116,0.00716190148504519,0.194342758382355,-0.0107995493657739,-0.275616332427422
"23",6,-0.016398216910152,0.552437832634614,0.0419213600665794,-0.815593800716116,0,1,-0.00534946025745972,0.356767716132313,0.0256094840522571,-0.510025221036525,0.0110487566526923,-0.195670116502301,-0.0163118760143223,0.305568579679591
"24",7,-0.00534946025745972,0.356767716132313,0.0256094840522571,-0.510025221036525,0,1,0.00178589406518654,0.161294524948454,0.0154089796315266,-0.209383213850155,0.00713535432264626,-0.195473191183859,-0.0102005044207305,0.300642007186371
"25",8,0.00178589406518654,0.161294524948454,0.0154089796315266,-0.209383213850155,1,1,0.00501178456415562,0.356192797095919,0.0112213153545235,-0.497165855023344,0.00322589049896908,0.194898272147465,-0.00418766427700309,-0.287782641173189
"26",9,0.00501178456415562,0.356192797095919,0.0112213153545235,-0.497165855023344,1,1,0.012135640506074,0.551154741443274,0.00127799825405665,-0.786291362356545,0.00712385594191838,0.194961944347355,-0.00994331710046688,-0.289125507333201
"27",10,0.012135640506074,0.551154741443274,0.00127799825405665,-0.786291362356545,1,1,0.0231587353349395,0.74625911185702,-0.0144478289930742,-1.0785719475978,0.0110230948288655,0.195104370413746,-0.0157258272471309,-0.292280585241256
"28",11,0.0231587353349395,0.74625911185702,-0.0144478289930742,-1.0785719475978,1,1,0.0380839175720799,0.941568857466711,-0.0360192679450303,-1.37575350381129,0.0149251822371404,0.195309745609691,-0.021571438951956,-0.297181556213485
"29",12,0.0380839175720799,0.941568857466711,-0.0360192679450303,-1.37575350381129,0,1,0.0569152947214141,0.746915002805626,-0.063534338021256,-1.09454948258265,0.0188313771493342,-0.194653854661085,-0.0275150700762257,0.281204021228635
"30",13,0.0569152947214141,0.746915002805626,-0.063534338021256,-1.09454948258265,0,1,0.0718535947775266,0.552684857800344,-0.085425327672909,-0.822458622319531,0.0149383000561125,-0.194230145005282,-0.021890989651653,0.27209086026312
"31",14,0.0718535947775266,0.552684857800344,-0.085425327672909,-0.822458622319531,1,1,0.0829072919335335,0.748865176325685,-0.1018745001193,-1.1407405468269,0.0110536971560069,0.196180318525341,-0.0164491724463906,-0.318281924507366
"32",15,0.0829072919335335,0.748865176325685,-0.1018745001193,-1.1407405468269,1,1,0.0978845954600472,0.945160407085197,-0.124689311055838,-1.46355611153938,0.0149773035265137,0.196295230759512,-0.022814810936538,-0.322815564712485
"33",16,0.0978845954600472,0.945160407085197,-0.124689311055838,-1.46355611153938,0,1,0.116787803601751,0.751767180062339,-0.153960433286625,-1.21228216570139,0.0189032081417039,-0.193393227022858,-0.0292711222307876,0.251273945837995
"34",17,0.116787803601751,0.751767180062339,-0.153960433286625,-1.21228216570139,1,1,0.131823147202998,0.948504009314377,-0.178206076600653,-1.54898250903434,0.0150353436012468,0.196736829252038,-0.0242456433140278,-0.336700343332949
"35",18,0.131823147202998,0.948504009314377,-0.178206076600653,-1.54898250903434,1,1,0.150793227389285,1.14526059872323,-0.20918572678134,-1.89155914085951,0.0189700801862875,0.196756589408851,-0.0309796501806867,-0.342576631825175
"36",19,0.150793227389285,1.14526059872323,-0.20918572678134,-1.89155914085951,1,1,0.17369843936375,1.34195028831835,-0.24701690959853,-2.24121507413428,0.0229052119744646,0.196689689595124,-0.0378311828171902,-0.349655933274764
"37",20,0.17369843936375,1.34195028831835,-0.24701690959853,-2.24121507413428,1,-200,0.200537445130117,1.53841476862591,-0.291841211081216,-2.59885328874415,0.0268390057663671,0.196464480307553,-0.0448243014826855,-0.357638214609874
"39",0,-0.0338127165475358,0.192211771867072,-0.0404058314878366,-0.328748674529582,1,1,-0.0299684811101943,0.387884949550145,-0.0469808049784283,-0.633894959344327,0.00384423543734144,0.195673177683073,-0.00657497349059163,-0.305146284814745
"40",1,-0.0299684811101943,0.387884949550145,-0.0469808049784283,-0.633894959344327,1,1,-0.0222107821191914,0.583629682579458,-0.0596587041653148,-0.940995359363415,0.0077576989910029,0.195744733029313,-0.0126778991868865,-0.307100400019088
"41",2,-0.0222107821191914,0.583629682579458,-0.0596587041653148,-0.940995359363415,1,1,-0.0105381884676023,0.779502741089577,-0.0784786113525831,-1.25181150084189,0.0116725936515892,0.19587305851012,-0.0188199071872683,-0.310816141478472
"42",3,-0.0105381884676023,0.779502741089577,-0.0784786113525831,-1.25181150084189,1,1,0.00505186635418927,0.975537557009166,-0.103514841369421,-1.56800770667047,0.0155900548217915,0.196034815919589,-0.0250362300168377,-0.316196205828585
"43",4,0.00505186635418927,0.975537557009166,-0.103514841369421,-1.56800770667047,1,1,0.0245626174943726,1.17173234687591,-0.13487499550283,-1.89110362299463,0.0195107511401833,0.19619478986674,-0.0313601541334095,-0.323095916324156
"44",5,0.0245626174943726,1.17173234687591,-0.13487499550283,-1.89110362299463,1,1,0.0479972644318907,1.36803635667768,-0.172697067962723,-2.22241856590209,0.0234346469375181,0.196304009801778,-0.0378220724598926,-0.331314942907462
"45",6,0.0479972644318907,1.36803635667768,-0.172697067962723,-2.22241856590209,0,1,0.0753579915654444,1.17493137481997,-0.217145439280765,-1.98759071726178,0.0273607271335537,-0.193104981857711,-0.0444483713180418,0.234827848640307
"46",7,0.0753579915654444,1.17493137481997,-0.217145439280765,-1.98759071726178,1,-200,0.0988566190618439,1.37157233691446,-0.256897253626,-2.33896564627692,0.0234986274963995,0.196640962094485,-0.0397518143452357,-0.351374929015133
"48",0,-0.023292698090241,0.23763005344788,-0.00583642544182904,-0.33205250221708,0,1,-0.0185400970212834,0.0425916615142971,-0.0124774754861706,-0.041215796461369,0.00475260106895759,-0.195038391933582,-0.00664105004434159,0.290836705755711
"49",1,-0.0185400970212834,0.0425916615142971,-0.0124774754861706,-0.041215796461369,1,1,-0.0176882637909975,0.237890294061261,-0.013301791415398,-0.337809224033212,0.000851833230285943,0.195298632546963,-0.00082431592922738,-0.296593427571843
"50",2,-0.0176882637909975,0.237890294061261,-0.013301791415398,-0.337809224033212,1,1,-0.0129304579097723,0.433198980619923,-0.0200579758960623,-0.634656947508976,0.00475780588122521,0.195308686558662,-0.00675618448066424,-0.296847723475764
